"","protein","trajectory.unique.id","expr.cond1","displacement.per.ms",".group"
"301","AlkD","95-sample_dataset",10,NA,396
"302","AlkD","122-sample_dataset",10,-1.16069615542687,3
"303","AlkD","122-sample_dataset",10,-2.67797959325668,3
"304","AlkD","122-sample_dataset",10,-0.992547620253119,3
"305","AlkD","122-sample_dataset",10,-4.90158125810536,3
"306","AlkD","122-sample_dataset",10,1.85327876129388,3
"307","AlkD","122-sample_dataset",10,-6.62725853471789,3
"308","AlkD","122-sample_dataset",10,-1.50561294271306,3
"309","AlkD","122-sample_dataset",10,2.30344289175495,3
"310","AlkD","122-sample_dataset",10,-1.51911767532649,3
"311","AlkD","122-sample_dataset",10,1.52725933502327,3
"312","AlkD","122-sample_dataset",10,-2.19353209195274,3
"313","AlkD","122-sample_dataset",10,0.891299150482616,3
"314","AlkD","122-sample_dataset",10,-1.06428805727806,3
"315","AlkD","122-sample_dataset",10,0.828694704537034,3
"316","AlkD","122-sample_dataset",10,5.41391603569086,3
"317","AlkD","122-sample_dataset",10,-5.28008993123067,3
"318","AlkD","122-sample_dataset",10,-4.5772504187662,3
"319","AlkD","122-sample_dataset",10,-1.17861807575345,3
"320","AlkD","122-sample_dataset",10,1.12057489673844,3
"321","AlkD","122-sample_dataset",10,-2.56551193838694,3
"322","AlkD","122-sample_dataset",10,-2.19531958997698,3
"323","AlkD","122-sample_dataset",10,0.0335653178161743,3
"324","AlkD","122-sample_dataset",10,1.08963351004794,3
"325","AlkD","122-sample_dataset",10,1.00587790066533,3
"326","AlkD","122-sample_dataset",10,1.47140870057949,3
"327","AlkD","122-sample_dataset",10,1.58750544697044,3
"328","AlkD","122-sample_dataset",10,0.676616051099483,3
"329","AlkD","122-sample_dataset",10,-2.14571604836752,3
"330","AlkD","122-sample_dataset",10,0.216669142986127,3
"331","AlkD","122-sample_dataset",10,0.237984209355335,3
"332","AlkD","122-sample_dataset",10,-0.766481790218419,3
